Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-12-15,233.98393429191384,235.97583321611512,232.58537576798952,235.25535583496094,35099600,0.0,0
2017-12-18,235.38250857991616,235.8910564815972,232.16155862216357,233.39060974121094,15645656,0.0,0
2017-12-19,234.3229774664628,234.7891549724422,231.05965732320223,232.03440856933594,16148742,0.0,0
2017-12-20,230.7206265726269,231.35633730800285,226.9911028980459,228.98300170898438,24757981,0.0,0
2017-12-21,228.30490623521584,232.50058130433877,227.24538840960886,232.24630737304688,16235553,0.0,0
2017-12-22,231.22915590647304,232.96678063063655,230.2968009298039,232.33106994628906,17531407,0.0,0
2017-12-27,232.6701097375388,233.00915026136164,229.36441936278197,232.4582061767578,20959605,0.0,0
2017-12-28,233.1053827410036,233.57997919368285,229.78331290353734,230.68934631347656,12575854,4.85,0
2017-12-29,229.99903405724024,234.57228165707983,229.39503810974455,234.44285583496094,7160147,0.0,0
2018-01-02,238.92976880348203,240.31037225896662,235.52143282427707,237.29031372070312,18649145,0.0,0
2018-01-03,238.0237699628119,238.1100626191519,234.65856702812422,235.04684448242188,13680709,0.0,0
2018-01-04,235.3919967080614,236.21173747168575,230.9482012514143,232.15621948242188,17449455,0.0,0
2018-01-05,231.2070666110363,233.83882141113284,230.73247017748346,233.8388214111328,13083176,0.0,0
2018-01-08,233.83881651254316,235.43513842319658,230.8618911566538,231.20706176757812,18079015,0.0,0
2018-01-09,232.19935832403823,236.29800911193493,231.76792139899646,236.08229064941406,23700104,0.0,0
2018-01-10,235.5645683406961,236.72945334081317,233.66623527881484,235.39198303222656,20049606,0.0,0
2018-01-11,235.9528737235668,236.082299539389,231.5522116558644,233.7093963623047,22232311,0.0,0
2018-01-12,234.83112208932016,238.28261762275224,234.39968514764115,237.2040252685547,33663517,0.0,0
2018-01-15,236.64315526008127,240.00835803550194,235.9959998673919,237.8943328857422,17026986,0.0,0
2018-01-16,239.2317691441,239.36119495191525,235.4351295622093,236.42742919921875,18832254,0.0,0
2018-01-17,236.4274369136995,236.8157406826348,231.5522048862402,232.11306762695312,15082565,0.0,0
2018-01-18,231.33649564906955,231.81106575641238,227.5829889533225,230.3873291015625,17842933,0.0,0
2018-01-19,230.81876040050244,231.4659158034945,225.72780983019572,227.88499450683594,34476101,0.0,0
2018-01-22,227.92812117522834,234.74481929268916,227.92812117522834,229.78329467773438,32211613,0.0,0
2018-01-23,231.42277835629446,231.7247631391736,228.40271986494068,229.39501953125,17701150,0.0,0
2018-01-24,229.30872811218887,229.56757973685433,225.5552215576172,225.5552215576172,19038799,0.0,0
2018-01-25,225.42579958869493,228.4027249872051,224.82177734375,224.82177734375,24500047,0.0,0
2018-01-26,225.3395189795881,227.97130023572703,225.0375078409725,226.84954833984375,26322778,0.0,0
2018-01-29,226.89269725497417,226.89269725497417,223.78634602074064,224.56292724609375,19458792,0.0,0
2018-01-30,223.61375429462282,224.3903354976905,221.97429923640874,222.1900177001953,21908324,0.0,0
2018-01-31,223.9157691239161,224.1746207516247,219.77397191724367,220.42112731933594,25696790,0.0,0
2018-02-01,226.41810920487117,226.67698717812166,220.07599385256438,220.89572143554688,29003700,0.0,0
2018-02-02,220.03281995702065,221.19770485865095,207.13285922419482,216.0204620361328,83939067,0.0,0
2018-02-05,214.8555889379771,215.8478886002431,213.04354858398435,213.04354858398438,42167605,0.0,0
2018-02-06,208.16831860083417,210.32550324954747,205.53655069612188,206.2268524169922,44189349,0.0,0
2018-02-07,206.960307054802,209.98036565917485,205.45027775261556,208.2114715576172,30193322,0.0,0
2018-02-08,206.01112705886743,206.39941764936134,202.9047760020965,203.206787109375,38380217,0.0,0
2018-02-09,203.20679465065632,203.24994097707014,198.6335605454062,199.2807159423828,28011271,0.0,0
2018-02-12,199.3238513820397,201.48103592080633,198.11583330689416,198.80612182617188,26390694,0.0,0
2018-02-13,199.3238610160482,199.3238610160482,194.88006591796875,194.88006591796875,36697634,0.0,0
2018-02-14,198.46100214150724,199.49644821505026,194.27605835152403,194.6212158203125,47482558,0.0,0
2018-02-15,196.30382636883817,196.30382636883817,193.5426323235259,194.70750427246094,18660018,0.0,0
2018-02-16,195.9586578219236,198.11584246035775,194.75062652455438,197.08038330078125,18929754,0.0,0
2018-02-19,197.5118106578297,198.54726976723197,195.13890767053357,196.7352294921875,17325401,0.0,0
2018-02-20,197.25297102175614,199.88472577976236,196.99410622869038,199.1512908935547,23499470,0.0,0
2018-02-21,201.04961626606604,201.481053210843,198.93557786994103,200.61817932128906,26132966,0.0,0
2018-02-22,199.88471680151258,201.69675710517106,198.5041265778578,200.48873901367188,19981791,0.0,0
2018-02-23,204.50111738350878,211.05896438895363,204.06968042700348,210.58438110351562,49032112,0.0,0
2018-02-26,211.70609871432808,212.13753562781446,208.81546612740547,209.50576782226562,26285416,0.0,0
2018-02-27,209.54892919731364,211.0158121752412,207.8663145807387,209.89407348632812,19998402,0.0,0
2018-02-28,208.12517820531878,211.05895731101603,206.74458789064704,206.9171600341797,45653392,0.0,0
2018-03-01,206.9171647909767,207.7368923664093,205.57970760663352,207.08973693847656,26667601,0.0,0
2018-03-02,206.14058411990604,208.77235233556067,202.77538093687997,203.85397338867188,23468691,0.0,0
2018-03-05,203.94025596258672,206.14057392226448,203.37938001555403,205.70913696289062,34096990,0.0,0
2018-03-06,207.21914056735417,208.47031812717,204.7168117805415,205.49339294433594,15409072,0.0,0
2018-03-07,205.10512442854284,206.96031122272223,204.67368747637238,205.66600036621094,17395378,0.0,0
2018-03-08,206.14055083081456,208.12516325490424,205.7954065685423,207.56430053710938,15280721,0.0,0
2018-03-09,207.30543899358787,208.38403128803944,205.49339867234534,206.57199096679688,15525150,0.0,0
2018-03-12,207.52116640780835,207.69373854908577,202.3439231710231,202.77536010742188,26557266,0.0,0
2018-03-13,203.37937499351023,203.68138612417883,195.2683656241312,196.00180053710938,48400017,0.0,0
2018-03-14,195.0094856211457,196.56266114875538,193.844600683836,194.5780487060547,35935392,0.0,0
2018-03-15,195.0526516832318,196.43324205137858,193.45632966929992,194.10348510742188,33437838,0.0,0
2018-03-16,193.80146453848957,197.1666671577695,193.5857460842688,196.60580444335938,65377838,0.0,0
2018-03-19,196.39009382771158,197.12352870149022,193.7151796220458,194.75062561035156,23998729,0.0,0
