Date,Pearson,education,Edexcel,publisher,penguin,books
2018-07-01,61,61,53,45,93,89
2018-07-02,90,78,75,90,93,85
2018-07-03,82,78,90,96,84,86
2018-07-04,72,69,88,60,89,83
2018-07-05,79,77,100,84,93,90
2018-07-06,83,72,48,77,81,83
2018-07-07,58,60,37,53,86,90
2018-07-08,62,60,42,57,91,94
2018-07-09,100,84,65,91,94,91
2018-07-10,78,83,89,83,93,88
2018-07-11,91,79,72,80,85,88
2018-07-12,92,83,58,87,93,88
2018-07-13,79,77,51,92,94,87
2018-07-14,64,59,28,46,87,89
2018-07-15,52,62,25,43,89,95
2018-07-16,94,83,51,86,92,94
2018-07-17,83,83,59,100,84,95
2018-07-18,90,89,73,96,95,93
2018-07-19,88,100,58,86,100,90
2018-07-20,84,76,51,85,91,86
2018-07-21,62,65,38,43,95,94
2018-07-22,62,59,25,52,98,99
2018-07-23,86,82,29,82,87,97
2018-07-24,84,82,28,89,87,93
2018-07-25,83,82,35,84,82,93
2018-07-26,74,82,26,71,94,91
2018-07-27,74,71,27,81,90,85
2018-07-28,62,61,39,51,96,86
2018-07-29,64,59,35,49,97,100
2018-07-30,83,87,35,83,97,92
2018-07-31,85,85,41,85,90,92
2018-08-01,46,76,5,80,79,89
2018-08-02,47,75,5,65,84,87
2018-08-03,44,67,5,76,80,86
2018-08-04,29,55,4,36,85,88
2018-08-05,31,54,7,41,80,88
2018-08-06,47,80,6,65,77,90
2018-08-07,48,77,8,80,74,90
2018-08-08,53,77,7,80,79,87
2018-08-09,46,73,5,75,88,84
2018-08-10,40,71,5,72,79,87
2018-08-11,35,56,9,55,80,89
2018-08-12,33,54,7,39,77,93
2018-08-13,59,75,10,78,77,92
2018-08-14,62,78,12,75,79,87
2018-08-15,53,75,38,76,78,92
2018-08-16,55,75,53,74,75,88
2018-08-17,60,70,14,58,92,89
2018-08-18,41,55,13,49,88,88
2018-08-19,40,57,14,47,100,93
2018-08-20,62,76,12,87,84,95
2018-08-21,85,77,16,87,84,98
2018-08-22,80,76,27,91,78,96
2018-08-23,78,79,100,97,81,95
2018-08-24,71,71,22,64,91,89
2018-08-25,40,56,12,44,84,83
2018-08-26,41,59,11,62,81,92
2018-08-27,86,87,8,76,77,95
2018-08-28,100,93,22,73,86,100
2018-08-29,98,97,18,100,85,95
2018-08-30,90,100,16,91,74,95
2018-08-31,77,88,14,91,81,87
2018-09-01,42,68,37,47,89,84
2018-09-02,43,64,47,43,91,88
2018-09-03,58,73,67,64,88,94
2018-09-04,90,99,82,77,77,96
2018-09-05,92,98,97,84,83,100
2018-09-06,95,99,99,90,88,98
2018-09-07,88,88,69,82,76,93
2018-09-08,42,62,34,53,84,84
2018-09-09,56,65,57,42,87,91
2018-09-10,89,91,70,66,76,93
2018-09-11,100,95,100,79,79,94
2018-09-12,97,95,76,86,79,93
2018-09-13,84,88,73,71,79,89
2018-09-14,82,83,50,78,93,85
2018-09-15,46,60,41,55,83,82
2018-09-16,50,62,61,41,91,90
2018-09-17,94,95,78,89,84,95
2018-09-18,86,100,69,98,86,98
2018-09-19,86,91,72,78,79,94
2018-09-20,90,89,69,81,82,89
2018-09-21,84,80,56,71,84,91
2018-09-22,47,57,53,50,90,81
2018-09-23,54,61,76,41,100,87
2018-09-24,89,94,69,76,93,93
2018-09-25,86,94,80,70,84,90
2018-09-26,93,98,74,91,86,91
2018-09-27,80,90,65,100,91,85
2018-09-28,78,82,58,73,97,83
2018-09-29,38,61,45,48,86,78
2018-09-30,47,62,52,56,100,85
2018-10-01,87,93,85,72,80,93
2018-10-02,100,93,75,85,100,100
2018-10-03,96,97,85,94,72,96
2018-10-04,88,100,75,89,83,97
2018-10-05,75,85,58,74,91,94
2018-10-06,48,60,36,50,81,84
2018-10-07,45,63,58,49,76,85
2018-10-08,75,91,75,77,84,91
2018-10-09,85,93,91,80,78,93
2018-10-10,90,94,100,65,75,94
2018-10-11,89,89,88,88,77,93
2018-10-12,64,82,64,67,79,90
2018-10-13,43,64,51,61,81,90
2018-10-14,48,65,57,54,86,92
2018-10-15,84,94,100,74,80,94
2018-10-16,85,94,86,87,70,98
2018-10-17,84,90,88,100,78,93
2018-10-18,87,84,76,89,81,91
2018-10-19,76,76,53,57,82,86
2018-10-20,41,62,39,50,81,83
2018-10-21,60,63,50,57,77,88
2018-10-22,79,96,76,88,88,93
2018-10-23,82,96,50,96,90,94
2018-10-24,79,93,70,91,89,92
2018-10-25,70,91,53,80,85,92
2018-10-26,64,79,42,80,98,94
2018-10-27,41,55,43,52,85,81
2018-10-28,53,61,56,60,89,86
2018-10-29,75,90,64,79,89,89
2018-10-30,86,94,76,87,90,93
2018-10-31,73,83,77,89,88,85
2018-11-01,68,96,58,77,75,86
2018-11-02,62,86,54,73,75,89
2018-11-03,36,60,50,40,74,81
2018-11-04,47,66,63,55,70,84
2018-11-05,81,95,66,88,66,88
2018-11-06,69,97,78,100,69,86
2018-11-07,70,98,83,88,69,82
2018-11-08,70,91,67,91,78,87
2018-11-09,65,82,56,71,81,84
2018-11-10,37,60,45,39,71,85
2018-11-11,43,65,57,52,75,82
2018-11-12,66,86,74,66,73,87
2018-11-13,100,99,79,74,73,94
2018-11-14,97,99,77,98,82,86
2018-11-15,80,94,75,92,72,89
2018-11-16,71,85,65,77,79,88
2018-11-17,45,63,34,43,70,81
2018-11-18,44,61,58,48,100,89
2018-11-19,65,83,97,78,87,91
2018-11-20,59,81,79,77,76,91
2018-11-21,51,74,88,94,80,81
2018-11-22,42,63,82,62,72,75
2018-11-23,40,56,52,54,70,84
2018-11-24,35,54,44,48,81,88
2018-11-25,43,60,77,63,84,95
2018-11-26,71,89,100,76,77,98
2018-11-27,76,97,60,76,75,100
2018-11-28,77,100,64,87,90,96
2018-11-29,74,96,74,92,80,97
2018-11-30,67,84,67,76,92,96
2018-12-01,52,66,51,59,82,87
2018-12-02,63,66,86,69,84,90
2018-12-03,100,95,94,90,91,94
2018-12-04,97,100,78,98,92,93
2018-12-05,100,96,80,95,84,93
2018-12-06,96,100,100,83,94,93
2018-12-07,80,84,67,90,92,90
2018-12-08,49,63,52,47,76,88
2018-12-09,60,61,63,63,71,97
2018-12-10,100,92,97,97,89,100
2018-12-11,98,88,100,99,80,94
2018-12-12,89,93,85,87,83,92
2018-12-13,89,90,68,90,88,91
2018-12-14,80,81,57,92,87,95
2018-12-15,57,56,39,52,97,87
2018-12-16,42,56,48,55,88,94
2018-12-17,69,85,88,100,86,94
2018-12-18,75,86,80,75,100,98
2018-12-19,71,85,56,95,86,95
2018-12-20,68,81,48,79,95,90
2018-12-21,51,71,38,60,89,88
2018-12-22,44,49,48,35,80,84
2018-12-23,40,47,27,46,92,84
2018-12-24,38,93,33,55,84,77
2018-12-25,33,47,28,33,75,69
2018-12-26,43,55,36,52,76,76
2018-12-27,50,56,44,65,65,82
2018-12-28,46,56,28,53,78,84
2018-12-29,43,52,50,49,76,86
