Date,network,BT,EE,data,services,communications
2018-09-07,93,74,78,89,88,77
2018-09-08,100,72,71,65,52,47
2018-09-09,91,65,70,68,51,50
2018-09-10,92,76,85,89,95,93
2018-09-11,91,72,73,90,95,90
2018-09-12,86,72,89,94,95,95
2018-09-13,92,72,93,94,88,86
2018-09-14,100,78,100,86,82,81
2018-09-15,88,86,78,68,52,56
2018-09-16,87,68,75,65,49,48
2018-09-17,95,76,87,96,98,97
2018-09-18,91,100,91,91,100,91
2018-09-19,92,87,88,99,96,94
2018-09-20,92,79,84,94,91,90
2018-09-21,99,75,88,87,86,78
2018-09-22,88,78,91,69,53,43
2018-09-23,80,74,79,68,48,45
2018-09-24,93,75,84,100,95,87
2018-09-25,92,75,79,92,91,100
2018-09-26,94,80,77,99,98,93
2018-09-27,87,74,79,96,89,87
2018-09-28,82,79,80,85,83,73
2018-09-29,81,90,74,70,50,43
2018-09-30,78,69,76,70,50,45
2018-10-01,87,63,83,96,96,82
2018-10-02,85,79,90,91,95,92
2018-10-03,86,74,88,98,96,96
2018-10-04,93,75,79,100,92,92
2018-10-05,92,69,80,91,85,82
2018-10-06,82,100,84,67,52,44
2018-10-07,76,87,79,73,47,43
2018-10-08,86,71,84,100,89,77
2018-10-09,90,59,78,98,97,87
2018-10-10,85,64,89,100,95,91
2018-10-11,86,65,83,98,92,100
2018-10-12,85,67,81,87,87,79
2018-10-13,80,59,73,67,54,43
2018-10-14,78,58,80,72,56,48
2018-10-15,88,62,86,95,100,87
2018-10-16,98,64,93,98,97,88
2018-10-17,100,64,86,100,95,96
2018-10-18,84,58,89,93,85,75
2018-10-19,84,62,92,85,80,93
2018-10-20,73,60,83,65,52,46
2018-10-21,79,59,83,71,52,43
2018-10-22,84,64,100,95,95,91
2018-10-23,85,79,91,96,93,95
2018-10-24,81,70,87,96,93,87
2018-10-25,84,72,77,98,89,80
2018-10-26,85,57,83,89,84,77
2018-10-27,74,56,77,69,50,39
2018-10-28,79,62,76,70,48,46
2018-10-29,82,58,86,92,89,87
2018-10-30,86,63,84,94,90,95
2018-10-31,84,60,92,95,85,84
2018-11-01,89,83,85,96,98,87
2018-11-02,93,86,77,85,93,87
2018-11-03,81,90,75,69,57,53
2018-11-04,77,74,82,69,60,56
2018-11-05,87,85,80,95,100,100
2018-11-06,85,95,87,90,96,89
2018-11-07,84,89,74,93,93,89
2018-11-08,87,93,86,92,98,92
2018-11-09,88,83,77,85,90,85
2018-11-10,84,79,77,66,54,51
2018-11-11,77,82,75,66,56,41
2018-11-12,86,82,87,93,92,94
2018-11-13,92,79,85,97,99,97
2018-11-14,92,80,82,97,96,96
2018-11-15,100,82,76,94,96,94
2018-11-16,92,82,86,86,91,83
2018-11-17,92,74,73,67,55,51
2018-11-18,87,73,72,67,53,39
2018-11-19,95,89,88,90,98,88
2018-11-20,93,94,84,90,96,93
2018-11-21,92,88,83,91,88,73
2018-11-22,90,88,89,83,66,57
2018-11-23,83,94,100,74,69,56
2018-11-24,80,89,90,67,51,49
2018-11-25,79,77,82,68,55,47
2018-11-26,89,82,81,93,100,90
2018-11-27,92,97,87,97,98,94
2018-11-28,97,100,87,100,98,100
2018-11-29,91,88,83,94,97,89
2018-11-30,91,86,79,88,91,88
2018-12-01,52,100,78,64,58,65
2018-12-02,51,91,81,66,55,44
2018-12-03,58,72,86,89,96,99
2018-12-04,59,80,87,91,100,96
2018-12-05,57,90,79,92,94,100
2018-12-06,100,78,100,100,97,91
2018-12-07,61,72,86,82,84,89
2018-12-08,48,76,82,63,53,48
2018-12-09,48,67,74,63,54,39
2018-12-10,58,76,93,86,93,89
2018-12-11,57,84,83,83,95,97
2018-12-12,54,77,77,85,95,91
2018-12-13,55,76,85,84,92,88
2018-12-14,54,76,75,77,84,82
2018-12-15,51,66,75,59,55,51
2018-12-16,51,69,77,58,50,45
2018-12-17,52,72,77,78,89,81
