Date,homes,site,property,building,Barratt Developments,developments
2018-08-14,85,94,95,92,0,86
2018-08-15,85,94,94,90,0,79
2018-08-16,82,92,93,90,0,76
2018-08-17,82,93,84,87,0,85
2018-08-18,89,83,73,69,0,58
2018-08-19,96,82,75,69,0,64
2018-08-20,95,95,94,94,0,100
2018-08-21,88,94,94,95,33,76
2018-08-22,86,93,97,92,100,67
2018-08-23,83,95,92,88,0,77
2018-08-24,81,92,89,84,34,69
2018-08-25,87,82,66,60,0,32
2018-08-26,95,88,70,68,0,65
2018-08-27,87,94,93,94,0,66
2018-08-28,84,98,100,100,0,94
2018-08-29,80,96,98,96,0,85
2018-08-30,77,95,90,95,0,69
2018-08-31,77,91,88,83,0,77
2018-09-01,87,85,68,63,29,49
2018-09-02,97,88,71,66,0,64
2018-09-03,100,95,83,79,27,84
2018-09-04,92,99,96,97,25,86
2018-09-05,91,97,100,100,51,92
2018-09-06,92,95,100,94,0,83
2018-09-07,88,89,88,89,0,84
2018-09-08,90,84,74,66,0,47
2018-09-09,98,86,70,67,29,51
2018-09-10,91,95,92,91,100,100
2018-09-11,88,100,97,99,0,83
2018-09-12,85,100,97,97,0,69
2018-09-13,81,96,93,91,0,61
2018-09-14,85,96,87,89,53,80
2018-09-15,88,86,67,64,0,36
2018-09-16,96,86,69,65,0,60
2018-09-17,91,99,98,95,0,96
2018-09-18,91,96,96,96,75,90
2018-09-19,86,96,99,94,0,84
2018-09-20,81,94,88,89,50,87
2018-09-21,85,92,86,82,52,62
2018-09-22,86,83,66,66,0,73
2018-09-23,93,87,67,66,0,56
2018-09-24,90,96,93,96,51,84
2018-09-25,82,96,95,96,25,71
2018-09-26,88,95,96,96,25,96
2018-09-27,82,99,96,92,0,89
2018-09-28,79,92,84,79,26,66
2018-09-29,85,87,65,65,29,49
2018-09-30,91,84,66,64,0,59
2018-10-01,93,93,95,94,71,74
2018-10-02,89,94,100,96,23,73
2018-10-03,89,93,99,98,0,61
2018-10-04,93,100,99,93,72,92
2018-10-05,86,92,91,91,25,79
2018-10-06,89,85,66,66,0,34
2018-10-07,92,92,63,68,0,61
2018-10-08,95,95,96,96,0,97
2018-10-09,86,89,99,98,0,93
2018-10-10,93,94,96,98,24,77
2018-10-11,87,91,96,95,0,82
2018-10-12,86,85,92,89,0,81
2018-10-13,88,83,70,70,0,46
2018-10-14,99,85,76,75,0,59
2018-10-15,93,93,100,98,0,83
2018-10-16,93,98,99,100,48,100
2018-10-17,87,96,96,94,0,88
2018-10-18,84,90,91,94,24,90
2018-10-19,87,87,85,88,0,70
2018-10-20,93,84,68,66,28,52
2018-10-21,100,82,70,67,28,62
2018-10-22,91,91,97,96,24,80
2018-10-23,86,96,99,95,24,89
2018-10-24,82,94,91,96,47,96
2018-10-25,84,95,94,95,0,80
2018-10-26,81,92,83,83,100,84
2018-10-27,86,83,61,61,0,55
2018-10-28,92,85,69,61,53,46
2018-10-29,89,90,93,89,23,84
2018-10-30,86,91,94,90,47,91
2018-10-31,80,93,87,92,24,83
2018-11-01,91,96,100,97,93,88
2018-11-02,91,86,87,92,47,93
2018-11-03,97,84,72,69,51,44
2018-11-04,100,83,73,73,0,65
2018-11-05,100,95,98,96,84,86
2018-11-06,94,94,93,96,44,90
2018-11-07,88,86,93,91,0,93
2018-11-08,89,94,91,93,87,85
2018-11-09,89,88,86,86,0,62
2018-11-10,95,87,64,66,51,55
2018-11-11,95,86,68,70,0,78
2018-11-12,100,89,88,92,0,100
2018-11-13,95,94,97,96,87,90
2018-11-14,88,91,92,100,45,93
2018-11-15,85,88,93,95,89,97
2018-11-16,83,90,83,89,46,78
2018-11-17,87,93,68,67,0,60
2018-11-18,89,89,66,69,100,82
2018-11-19,89,92,97,95,0,80
2018-11-20,81,96,88,91,0,86
2018-11-21,77,93,79,80,45,98
2018-11-22,65,96,68,69,45,61
2018-11-23,70,100,65,71,0,72
2018-11-24,86,86,64,62,0,52
2018-11-25,90,93,67,69,49,77
2018-11-26,83,94,90,92,42,79
2018-11-27,85,94,96,95,43,78
2018-11-28,86,96,92,91,87,83
2018-11-29,89,95,93,97,44,53
2018-11-30,87,96,87,85,44,83
2018-12-01,78,88,69,76,0,34
2018-12-02,81,90,64,69,0,53
2018-12-03,82,97,94,100,48,100
2018-12-04,78,100,100,100,48,98
2018-12-05,80,100,90,96,0,67
2018-12-06,77,97,93,97,0,89
2018-12-07,72,94,84,92,25,71
2018-12-08,79,86,67,69,0,39
2018-12-09,85,92,67,74,0,68
2018-12-10,80,96,97,98,25,92
2018-12-11,78,97,95,89,73,85
2018-12-12,76,95,90,95,0,91
2018-12-13,78,93,90,93,50,98
2018-12-14,76,93,81,88,100,74
2018-12-15,76,87,64,72,0,38
2018-12-16,83,84,62,66,0,60
2018-12-17,79,93,87,87,46,86
2018-12-18,79,96,88,93,0,94
2018-12-19,76,94,92,87,0,75
2018-12-20,75,93,84,87,0,62
2018-12-21,72,89,71,75,27,40
2018-12-22,73,79,56,60,0,43
2018-12-23,73,81,55,61,0,42
2018-12-24,68,77,55,65,29,64
2018-12-25,66,77,47,57,0,42
2018-12-26,83,91,72,73,27,40
2018-12-27,97,92,86,79,0,39
2018-12-28,96,90,81,73,0,40
2018-12-29,100,87,73,70,0,49
2018-12-30,100,84,73,68,0,44
