Date,takeaway,Just Eat,food,SkipTheDishes,delivery,restaurants
2018-09-01,82,88,97,51,96,97
2018-09-02,82,73,100,41,94,100
2018-09-03,35,41,93,56,87,79
2018-09-04,39,39,86,53,78,57
2018-09-05,51,41,83,35,85,59
2018-09-06,49,43,86,44,82,65
2018-09-07,74,71,93,28,89,77
2018-09-08,100,93,97,62,99,92
2018-09-09,72,69,98,50,96,79
2018-09-10,45,40,84,35,79,58
2018-09-11,46,42,88,35,77,58
2018-09-12,45,42,87,18,78,60
2018-09-13,44,42,86,80,77,58
2018-09-14,69,73,91,9,82,72
2018-09-15,84,79,98,51,95,95
2018-09-16,76,73,99,91,95,79
2018-09-17,49,34,90,27,80,61
2018-09-18,44,40,86,61,80,58
2018-09-19,46,40,85,62,80,63
2018-09-20,51,49,88,26,81,63
2018-09-21,71,73,89,18,89,75
2018-09-22,87,90,95,20,95,94
2018-09-23,70,86,94,50,95,83
2018-09-24,49,45,90,62,80,60
2018-09-25,42,41,85,26,78,59
2018-09-26,44,49,89,44,80,60
2018-09-27,48,51,83,36,80,62
2018-09-28,75,82,89,100,87,74
2018-09-29,89,100,92,30,97,94
2018-09-30,69,91,96,50,100,82
2018-10-01,52,44,86,42,78,62
2018-10-02,48,40,87,17,81,63
2018-10-03,36,43,86,76,77,62
2018-10-04,48,48,89,17,82,66
2018-10-05,65,76,92,36,84,80
2018-10-06,95,100,98,39,92,97
2018-10-07,72,77,95,28,92,83
2018-10-08,46,44,87,34,83,68
2018-10-09,54,44,86,33,81,60
2018-10-10,51,41,87,26,81,61
2018-10-11,46,45,89,44,82,63
2018-10-12,72,77,92,73,86,75
2018-10-13,100,94,100,70,98,99
2018-10-14,67,81,99,100,100,87
2018-10-15,50,40,90,70,84,63
2018-10-16,38,42,87,94,79,61
2018-10-17,47,50,87,51,79,62
2018-10-18,50,54,86,35,78,65
2018-10-19,75,76,90,18,82,78
2018-10-20,97,93,98,70,91,100
2018-10-21,77,81,96,59,93,85
2018-10-22,42,44,90,26,78,63
2018-10-23,48,44,86,60,78,59
2018-10-24,43,36,86,76,77,58
2018-10-25,58,53,84,17,83,61
2018-10-26,70,81,87,54,84,72
2018-10-27,97,85,91,48,95,90
2018-10-28,69,79,94,10,96,76
2018-10-29,44,45,87,24,78,56
2018-10-30,48,55,85,25,79,56
2018-10-31,50,59,80,52,78,54
2018-11-01,48,71,89,76,86,70
2018-11-02,71,80,92,77,93,83
2018-11-03,97,99,100,37,94,99
2018-11-04,74,81,99,44,99,86
2018-11-05,47,41,91,99,85,64
2018-11-06,42,43,87,72,79,61
2018-11-07,50,44,88,100,72,61
2018-11-08,49,49,90,39,79,70
2018-11-09,75,75,90,66,88,78
2018-11-10,100,96,98,73,97,100
2018-11-11,78,86,98,89,96,87
2018-11-12,40,36,90,31,82,67
2018-11-13,38,38,91,32,83,61
2018-11-14,39,44,91,40,84,64
2018-11-15,40,45,91,32,86,63
2018-11-16,79,70,89,58,93,75
2018-11-17,84,100,98,55,100,99
2018-11-18,71,80,100,63,94,85
2018-11-19,44,43,90,48,81,62
2018-11-20,45,48,90,40,78,64
2018-11-21,44,48,91,64,84,66
2018-11-22,49,44,90,57,76,76
2018-11-23,71,83,81,58,82,74
2018-11-24,84,96,89,53,92,86
2018-11-25,69,85,93,53,90,77
2018-11-26,39,43,86,46,81,54
2018-11-27,44,42,87,31,81,58
2018-11-28,52,46,89,79,83,60
2018-11-29,54,54,90,32,90,63
2018-11-30,78,81,91,64,94,73
2018-12-01,90,82,90,16,95,60
2018-12-02,66,75,89,39,94,51
2018-12-03,41,34,79,34,77,39
2018-12-04,36,36,86,41,76,40
2018-12-05,37,40,87,48,84,40
2018-12-06,45,42,83,50,87,41
2018-12-07,64,59,81,58,89,48
2018-12-08,87,80,88,73,93,61
2018-12-09,69,69,89,32,100,52
2018-12-10,38,34,84,21,82,41
2018-12-11,39,32,79,62,81,38
2018-12-12,40,34,80,14,81,40
2018-12-13,40,41,81,43,82,42
2018-12-14,63,68,85,93,93,49
2018-12-15,95,100,92,50,98,62
2018-12-16,59,74,89,16,95,55
2018-12-17,46,36,83,26,86,43
2018-12-18,45,38,83,27,88,43
2018-12-19,48,40,82,67,91,43
2018-12-20,51,48,81,60,88,45
2018-12-21,68,63,80,63,97,49
2018-12-22,74,72,87,59,93,57
2018-12-23,66,67,91,61,93,61
2018-12-24,72,54,89,51,86,59
2018-12-25,41,41,100,44,69,100
2018-12-26,64,55,83,31,75,62
2018-12-27,72,55,83,23,81,59
