,Date,Open,High,Low,Close,Volume,treatment,MedImmune,Covid,research,drug,AstraZeneca
211,2017-11-01,4493.090509631123,4638.2820126588085,4470.049019838143,4568.41845703125,3643526,94,85,0.0,86,84,86
212,2017-11-02,4548.921754066989,4580.825354913747,4522.034246712738,4565.759765625,2455380,95,21,0.0,87,90,82
213,2017-11-03,4566.6460295570405,4591.459941613628,4548.921806659478,4590.57373046875,1413519,91,65,0.0,82,87,67
214,2017-11-06,4579.053015486443,4643.656856385292,4536.514880254519,4547.1494140625,1710164,100,20,0.0,98,83,88
215,2017-11-07,4559.556753559476,4607.543273977698,4433.714759583685,4452.3251953125,2716767,94,61,0.0,97,92,60
216,2017-11-08,4457.6423729960325,4521.250961300512,4403.583489347373,4425.73876953125,2901537,99,41,0.0,96,96,83
217,2017-11-09,4461.187583249886,4560.443246603877,4389.847575214206,4397.38037109375,2699804,97,41,0.0,94,92,90
218,2017-11-10,4389.84726953526,4433.522597015272,4308.758943066607,4315.8486328125,3189397,93,0,100.0,83,83,60
219,2017-11-13,4356.61452681288,4434.601117203347,4351.297259286257,4369.021484375,2557010,93,20,0.0,93,84,100
220,2017-11-14,4372.123059034035,4470.107816203274,4343.321194350016,4395.16455078125,1907652,98,0,0.0,100,94,82
221,2017-11-15,4427.511388109787,4505.223200399389,4402.2543675811385,4423.5234375,2109926,98,0,0.0,97,92,75
222,2017-11-16,4439.9184762273,4504.68632703426,4413.775243682649,4440.8046875,2961799,96,0,0.0,95,100,66
223,2017-11-17,4421.750452065013,4494.337548182885,4380.541634343594,4408.900390625,1504446,91,0,0.0,81,90,59
224,2017-11-20,4364.146692415,4423.079732326788,4364.146692415,4396.05029296875,1329943,93,41,0.0,94,87,63
225,2017-11-21,4389.404425441509,4471.822073647861,4378.326784553558,4462.9599609375,1738802,95,41,94.0,85,90,75
226,2017-11-22,4438.145976882365,4478.025483463776,4421.751068621118,4437.259765625,1699542,88,62,0.0,82,82,83
