,Date,Open,High,Low,Close,Volume,bank,capital,Barclays,banking,business,London
544,2019-02-26,145.27984253931132,151.41713424293954,144.71190429007933,151.05072021484375,94779694,93,96,63,81,100,93
545,2019-02-27,149.93318487200986,154.22013823378276,149.93318487200986,152.88275146484375,54904955,92,100,64,82,94,89
546,2019-02-28,152.845215416304,155.8672084064468,152.0568731546521,154.06527709960938,48669408,97,95,100,98,92,88
547,2019-03-01,155.1539507815815,155.21025889820777,152.07563530806453,152.50735473632812,37978418,100,95,100,100,87,95
548,2019-03-04,153.3332490320916,155.04132400004823,153.03291997547467,153.67111206054688,56376661,86,87,94,78,95,99
549,2019-03-05,153.91511232123128,155.435488726242,153.37077666895505,154.440673828125,153922400,90,99,86,82,100,99
550,2019-03-06,154.8348427378334,156.18629477645177,153.89633596884585,155.15394592285156,82958305,85,97,76,81,94,89
551,2019-03-07,154.77853002646268,155.30409151021163,150.1986125472621,152.30087280273438,53376219,84,90,80,83,98,92
552,2019-03-08,150.17983614959795,150.7804798248074,148.1338842331041,149.01608276367188,48810878,86,90,88,82,86,89
553,2019-03-11,150.02968179112625,151.09957885742188,149.22256545546634,151.09957885742188,29078530,87,87,89,84,98,94
554,2019-03-12,152.8264406984066,155.34164631677325,152.11318070060435,152.84521484375,51935288,80,89,81,77,96,94
555,2019-03-13,152.09439438511927,154.57205151454437,151.70022328731028,153.8212432861328,106573971,82,97,76,72,96,93
556,2019-03-14,154.77854600697214,156.78695006750507,154.0652859654528,154.83485412597656,45237564,82,93,86,75,95,93
557,2019-03-15,155.32286407300973,155.73580932617188,154.30927508446888,155.73580932617188,69892412,85,95,83,75,83,91
558,2019-03-18,155.79212355671703,155.99859619140625,155.0413152778905,155.99859619140625,41757822,86,94,83,75,92,90
559,2019-03-19,156.29890289652846,159.0205809776628,155.22900580821388,158.23223876953125,37292304,85,97,80,75,97,93
560,2019-03-20,158.082075619574,158.53255483946296,154.23419230502623,154.3280487060547,50566922,82,94,78,72,93,92
561,2019-03-21,153.70864808095556,154.10281923266044,150.36756604419026,150.70542907714844,40966425,75,91,81,61,90,90
562,2019-03-22,150.59279266932734,152.03808669866328,145.4685397425482,145.88148498535156,54265702,81,94,87,71,83,94
563,2019-03-25,145.84395141731076,146.91384859961312,143.98571195762298,145.975341796875,33837424,87,96,81,77,94,92
564,2019-03-26,145.99411282488805,146.55722262269637,143.40383926001928,143.8730926513672,39907078,81,100,83,78,97,92
565,2019-03-27,145.11191725681323,148.11515048195704,143.96693781183455,145.975341796875,47161776,85,96,78,76,95,89
566,2019-03-28,145.9753292343554,146.38827448329883,143.5164462053438,143.66661071777344,29229204,90,94,93,81,95,89
567,2019-03-29,144.9429804424412,145.84393887612868,143.57275432725987,145.168212890625,33607623,92,90,94,83,85,92
568,2019-04-01,145.65624554805387,148.82840296329366,145.4685470611026,148.5843963623047,33997748,97,94,100,100,96,100
569,2019-04-02,148.64069550815037,151.2309688409383,148.1151340482058,150.16107177734375,29387265,98,97,91,100,100,79
570,2019-04-03,151.94424534625114,154.0652798815125,151.08082080783078,153.9151153564453,108305713,91,99,79,93,98,73
571,2019-04-04,154.3280580013308,155.09762611830618,152.60120895401698,154.53453063964844,46618350,91,100,80,92,96,62
572,2019-04-05,155.2665636439198,155.6232008021132,152.1507142671244,152.75135803222656,46549562,89,95,84,95,88,61
573,2019-04-08,152.45105538493678,153.27694599754653,151.08082907951405,152.15072631835938,27047782,90,95,85,88,98,67
574,2019-04-09,151.66270725214176,153.8212614733902,150.7992683790693,151.51254272460938,22958172,85,95,82,88,100,64
575,2019-04-10,152.2821105987455,152.8827543873379,150.57403564262975,151.23098754882812,15023648,84,95,72,84,98,61
576,2019-04-11,152.09440027228996,154.7409961577764,151.62514690142865,153.61477661132812,25734878,83,94,70,78,95,66
577,2019-04-12,153.8775793188086,157.40635968763132,152.92029838495844,155.7545928955078,37877028,88,88,74,79,85,67
578,2019-04-15,157.66914925331304,158.15717682025948,155.8484436908971,157.3688201904297,35424658,93,91,83,80,94,59
579,2019-04-16,158.1008472116292,158.94549752534525,156.4490662312409,157.10601806640625,30302038,88,91,70,75,95,60
580,2019-04-17,158.3823977353794,159.62123354862396,157.53774736851398,158.53256225585938,37307158,83,94,73,71,89,59
581,2019-04-18,158.9830322265625,159.54614198528924,156.37398469738233,158.9830322265625,36191982,87,85,84,70,90,59
582,2019-04-23,159.37722332741615,159.97786707523244,154.14035393841948,156.33645629882812,38797261,87,95,88,76,92,55
583,2019-04-24,155.17270289330938,156.8244839414505,153.91510728291215,156.1487579345703,69575842,85,92,97,73,94,58
584,2019-04-25,155.3228741338211,155.3228741338211,149.2976622453954,150.53648376464844,39058951,86,88,91,79,95,59
585,2019-04-26,150.236157049222,151.73775920487006,148.52806794961893,151.13711547851562,32612328,87,88,90,79,85,59
586,2019-04-29,151.81283998811364,154.59082614585347,151.4937511441872,154.57205200195312,31281940,88,92,81,79,96,64
587,2019-04-30,154.8911469339038,155.22900993501037,152.901517216541,154.17788696289062,43942256,100,98,86,90,96,60
588,2019-05-01,154.44067939986476,156.8057205866869,153.4833984375,153.4833984375,15992214,85,92,99,76,92,98
589,2019-05-02,153.5960140785615,155.9235067472547,152.7325896098604,154.42189025878906,21953392,94,99,93,92,97,94
590,2019-05-03,154.00896204487088,155.75458515729397,153.14552324046684,153.61477661132812,30493616,93,97,96,87,86,92
591,2019-05-07,152.48857337090615,152.882744489105,149.335190104839,149.6167449951172,57021032,88,93,98,84,97,90
592,2019-05-08,149.2225769260635,149.9733852086548,147.15786488929513,149.74813842773438,36524855,85,97,83,82,94,94
593,2019-05-09,149.09118590134656,149.22257627619206,146.7449189787649,147.21417236328125,67875683,84,94,86,77,94,94
594,2019-05-10,148.2277587640317,149.9358336067369,147.17663578390545,147.83358764648438,32144009,88,91,93,82,82,93
